"행정구역","2020년07월_계_총인구수","2020년07월_계_연령구간인구수","2020년07월_계_0~9세","2020년07월_계_10~19세","2020년07월_계_20~29세","2020년07월_계_30~39세","2020년07월_계_40~49세","2020년07월_계_50~59세","2020년07월_계_60~69세","2020년07월_계_70~79세","2020년07월_계_80~89세","2020년07월_계_90~99세","2020년07월_계_100세 이상","2020년07월_남_총인구수","2020년07월_남_연령구간인구수","2020년07월_남_0~9세","2020년07월_남_10~19세","2020년07월_남_20~29세","2020년07월_남_30~39세","2020년07월_남_40~49세","2020년07월_남_50~59세","2020년07월_남_60~69세","2020년07월_남_70~79세","2020년07월_남_80~89세","2020년07월_남_90~99세","2020년07월_남_100세 이상","2020년07월_여_총인구수","2020년07월_여_연령구간인구수","2020년07월_여_0~9세","2020년07월_여_10~19세","2020년07월_여_20~29세","2020년07월_여_30~39세","2020년07월_여_40~49세","2020년07월_여_50~59세","2020년07월_여_60~69세","2020년07월_여_70~79세","2020년07월_여_80~89세","2020년07월_여_90~99세","2020년07월_여_100세 이상"
"전국  (0000000000)","51,839,852","51,839,852","4,062,274","4,850,566","6,801,367","6,956,361","8,338,271","8,653,176","6,549,914","3,671,175","1,691,397","244,100","21,251","25,852,796","25,852,796","2,083,542","2,510,175","3,572,642","3,581,337","4,236,548","4,366,095","3,202,249","1,648,740","591,225","55,078","5,165","25,987,056","25,987,056","1,978,732","2,340,391","3,228,725","3,375,024","4,101,723","4,287,081","3,347,665","2,022,435","1,100,172","189,022","16,086"
"서울특별시  (1100000000)","9,715,429","9,715,429","643,327","797,290","1,465,057","1,493,859","1,545,423","1,531,558","1,220,667","699,735","270,476","41,465","6,572","4,728,872","4,728,872","330,330","408,779","712,412","747,611","765,473","751,861","576,472","318,867","104,518","10,824","1,725","4,986,557","4,986,557","312,997","388,511","752,645","746,248","779,950","779,697","644,195","380,868","165,958","30,641","4,847"
"부산광역시  (2600000000)","3,402,776","3,402,776","237,611","275,948","433,694","426,595","514,314","574,793","519,969","290,977","112,311","14,715","1,849","1,667,613","1,667,613","121,904","142,681","226,299","218,081","258,735","278,739","246,463","130,920","40,176","3,208","407","1,735,163","1,735,163","115,707","133,267","207,395","208,514","255,579","296,054","273,506","160,057","72,135","11,507","1,442"
"대구광역시  (2700000000)","2,428,022","2,428,022","182,953","229,707","322,718","299,733","387,441","427,685","317,981","174,208","75,804","9,089","703","1,198,621","1,198,621","93,738","120,078","172,852","155,431","191,086","209,477","151,338","75,982","26,483","1,989","167","1,229,401","1,229,401","89,215","109,629","149,866","144,302","196,355","218,208","166,643","98,226","49,321","7,100","536"
"인천광역시  (2800000000)","2,945,565","2,945,565","234,618","276,709","403,335","411,328","486,394","513,643","355,205","175,811","75,651","11,943","928","1,475,837","1,475,837","120,420","142,314","210,352","212,697","248,480","256,879","176,044","79,969","25,840","2,596","246","1,469,728","1,469,728","114,198","134,395","192,983","198,631","237,914","256,764","179,161","95,842","49,811","9,347","682"
"광주광역시  (2900000000)","1,454,709","1,454,709","122,863","159,816","208,961","189,053","243,442","233,747","159,502","92,265","38,960","5,678","422","719,860","719,860","63,125","83,009","109,019","96,360","120,824","115,865","75,917","40,837","13,637","1,215","52","734,849","734,849","59,738","76,807","99,942","92,693","122,618","117,882","83,585","51,428","25,323","4,463","370"
"대전광역시  (3000000000)","1,470,225","1,470,225","117,982","149,054","212,861","197,250","239,825","242,797","174,228","90,359","39,760","5,748","361","734,008","734,008","60,602","77,107","111,815","102,600","119,547","121,015","84,765","40,978","14,165","1,326","88","736,217","736,217","57,380","71,947","101,046","94,650","120,278","121,782","89,463","49,381","25,595","4,422","273"
"울산광역시  (3100000000)","1,141,362","1,141,362","101,316","113,536","146,406","155,472","189,127","210,564","140,639","58,937","22,155","3,041","169","586,533","586,533","52,083","59,828","82,156","82,466","96,122","107,296","70,979","27,845","7,227","497","34","554,829","554,829","49,233","53,708","64,250","73,006","93,005","103,268","69,660","31,092","14,928","2,544","135"
"세종특별자치시  (3600000000)","346,217","346,217","47,066","41,228","36,176","60,806","66,688","43,570","28,607","13,961","6,915","1,145","55","172,660","172,660","24,134","20,667","18,310","29,610","34,129","22,639","14,186","6,388","2,331","255","11","173,557","173,557","22,932","20,561","17,866","31,196","32,559","20,931","14,421","7,573","4,584","890","44"
"경기도  (4100000000)","13,351,891","13,351,891","1,164,671","1,339,699","1,792,794","1,912,629","2,296,589","2,220,221","1,474,875","757,425","338,524","50,274","4,190","6,717,812","6,717,812","596,586","689,824","943,417","984,344","1,166,569","1,126,057","732,581","343,170","122,154","11,990","1,120","6,634,079","6,634,079","568,085","649,875","849,377","928,285","1,130,020","1,094,164","742,294","414,255","216,370","38,284","3,070"
