"행정구역","2020년05월_계_총인구수","2020년05월_계_연령구간인구수","2020년05월_계_0~9세","2020년05월_계_10~19세","2020년05월_계_20~29세","2020년05월_계_30~39세","2020년05월_계_40~49세","2020년05월_계_50~59세","2020년05월_계_60~69세","2020년05월_계_70~79세","2020년05월_계_80~89세","2020년05월_계_90~99세","2020년05월_계_100세 이상","2020년05월_남_총인구수","2020년05월_남_연령구간인구수","2020년05월_남_0~9세","2020년05월_남_10~19세","2020년05월_남_20~29세","2020년05월_남_30~39세","2020년05월_남_40~49세","2020년05월_남_50~59세","2020년05월_남_60~69세","2020년05월_남_70~79세","2020년05월_남_80~89세","2020년05월_남_90~99세","2020년05월_남_100세 이상","2020년05월_여_총인구수","2020년05월_여_연령구간인구수","2020년05월_여_0~9세","2020년05월_여_10~19세","2020년05월_여_20~29세","2020년05월_여_30~39세","2020년05월_여_40~49세","2020년05월_여_50~59세","2020년05월_여_60~69세","2020년05월_여_70~79세","2020년05월_여_80~89세","2020년05월_여_90~99세","2020년05월_여_100세 이상"
"전국  (0000000000)","51,841,371","51,841,371","4,089,462","4,872,081","6,804,350","6,985,248","8,346,911","8,668,601","6,481,317","3,646,121","1,683,807","242,413","21,060","25,856,030","25,856,030","2,097,497","2,522,074","3,575,158","3,594,708","4,241,615","4,372,705","3,168,203","1,636,759","587,425","54,782","5,104","25,985,341","25,985,341","1,991,965","2,350,007","3,229,192","3,390,540","4,105,296","4,295,896","3,313,114","2,009,362","1,096,382","187,631","15,956"
"서울특별시  (1100000000)","9,724,496","9,724,496","648,909","803,192","1,463,920","1,498,555","1,550,099","1,536,375","1,211,955","694,958","268,829","41,193","6,511","4,735,431","4,735,431","333,248","411,862","713,036","749,894","767,985","753,933","572,501","316,917","103,579","10,776","1,700","4,989,065","4,989,065","315,661","391,330","750,884","748,661","782,114","782,442","639,454","378,041","165,250","30,417","4,811"
"부산광역시  (2600000000)","3,406,942","3,406,942","239,265","277,678","434,981","428,546","515,035","578,102","516,063","289,080","111,671","14,679","1,842","1,670,175","1,670,175","122,725","143,643","227,181","218,979","259,122","280,256","244,676","130,137","39,851","3,198","407","1,736,767","1,736,767","116,540","134,035","207,800","209,567","255,913","297,846","271,387","158,943","71,820","11,481","1,435"
"대구광역시  (2700000000)","2,429,059","2,429,059","184,227","231,161","322,350","301,074","388,419","428,389","315,443","172,853","75,447","8,993","703","1,199,504","1,199,504","94,357","120,961","172,821","155,992","191,555","209,832","150,182","75,346","26,312","1,982","164","1,229,555","1,229,555","89,870","110,200","149,529","145,082","196,864","218,557","165,261","97,507","49,135","7,011","539"
"인천광역시  (2800000000)","2,950,063","2,950,063","236,555","278,178","405,158","414,252","487,282","515,113","351,033","174,370","75,383","11,815","924","1,478,307","1,478,307","121,360","143,138","211,467","214,096","248,912","257,668","173,935","79,206","25,702","2,580","243","1,471,756","1,471,756","115,195","135,040","193,691","200,156","238,370","257,445","177,098","95,164","49,681","9,235","681"
"광주광역시  (2900000000)","1,455,533","1,455,533","123,851","160,902","208,753","189,797","243,859","234,541","157,418","91,584","38,746","5,664","418","720,300","720,300","63,618","83,574","108,939","96,596","121,039","116,270","74,935","40,545","13,514","1,217","53","735,233","735,233","60,233","77,328","99,814","93,201","122,820","118,271","82,483","51,039","25,232","4,447","365"
"대전광역시  (3000000000)","1,471,915","1,471,915","119,029","150,093","212,858","198,147","240,495","243,088","172,989","89,481","39,717","5,671","347","734,940","734,940","61,153","77,688","111,810","102,975","120,001","121,014","84,172","40,588","14,160","1,297","82","736,975","736,975","57,876","72,405","101,048","95,172","120,494","122,074","88,817","48,893","25,557","4,374","265"
"울산광역시  (3100000000)","1,143,148","1,143,148","102,217","114,140","146,995","156,559","189,546","211,118","138,964","58,365","22,039","3,043","162","587,434","587,434","52,590","60,184","82,369","82,943","96,365","107,576","70,175","27,536","7,164","501","31","555,714","555,714","49,627","53,956","64,626","73,616","93,181","103,542","68,789","30,829","14,875","2,542","131"
"세종특별자치시  (3600000000)","345,373","345,373","47,239","40,970","36,245","61,103","66,258","43,404","28,280","13,762","6,924","1,132","56","172,269","172,269","24,226","20,581","18,322","29,740","33,977","22,525","14,032","6,284","2,313","259","10","173,104","173,104","23,013","20,389","17,923","31,363","32,281","20,879","14,248","7,478","4,611","873","46"
"경기도  (4100000000)","13,324,041","13,324,041","1,169,656","1,341,519","1,788,779","1,916,581","2,294,087","2,217,878","1,453,705","751,632","336,198","49,854","4,152","6,703,603","6,703,603","599,029","690,849","941,023","985,963","1,165,260","1,124,992","721,909","340,450","121,136","11,883","1,109","6,620,438","6,620,438","570,627","650,670","847,756","930,618","1,128,827","1,092,886","731,796","411,182","215,062","37,971","3,043"
"강원도  (4200000000)","1,538,639","1,538,639","107,875","140,101","178,977","168,729","226,018","269,022","231,156","135,633","69,533","10,774","821","773,923","773,923","55,201","73,014","100,387","88,301","116,388","137,993","114,835","60,652","24,439","2,456","257","764,716","764,716","52,674","67,087","78,590","80,428","109,630","131,029","116,321","74,981","45,094","8,318","564"
"충청북도  (4300000000)","1,596,710","1,596,710","126,863","151,372","198,370","197,266","242,139","274,160","213,335","119,441","64,343","8,864","557","809,114","809,114","64,830","78,834","110,253","104,224","125,534","141,029","106,787","53,560","21,920","1,985","158","787,596","787,596","62,033","72,538","88,117","93,042","116,605","133,131","106,548","65,881","42,423","6,879","399"
"충청남도  (4400000000)","2,118,510","2,118,510","178,041","204,790","242,676","273,689","328,422","340,033","268,081","169,133","98,993","13,753","899","1,080,425","1,080,425","91,181","106,302","133,793","146,984","175,047","179,246","133,578","76,267","34,588","3,233","206","1,038,085","1,038,085","86,860","98,488","108,883","126,705","153,375","160,787","134,503","92,866","64,405","10,520","693"
