"행정구역","2020년03월_계_총인구수","2020년03월_계_연령구간인구수","2020년03월_계_0~9세","2020년03월_계_10~19세","2020년03월_계_20~29세","2020년03월_계_30~39세","2020년03월_계_40~49세","2020년03월_계_50~59세","2020년03월_계_60~69세","2020년03월_계_70~79세","2020년03월_계_80~89세","2020년03월_계_90~99세","2020년03월_계_100세 이상","2020년03월_남_총인구수","2020년03월_남_연령구간인구수","2020년03월_남_0~9세","2020년03월_남_10~19세","2020년03월_남_20~29세","2020년03월_남_30~39세","2020년03월_남_40~49세","2020년03월_남_50~59세","2020년03월_남_60~69세","2020년03월_남_70~79세","2020년03월_남_80~89세","2020년03월_남_90~99세","2020년03월_남_100세 이상","2020년03월_여_총인구수","2020년03월_여_연령구간인구수","2020년03월_여_0~9세","2020년03월_여_10~19세","2020년03월_여_20~29세","2020년03월_여_30~39세","2020년03월_여_40~49세","2020년03월_여_50~59세","2020년03월_여_60~69세","2020년03월_여_70~79세","2020년03월_여_80~89세","2020년03월_여_90~99세","2020년03월_여_100세 이상"
"전국  (0000000000)","51,843,195","51,843,195","4,119,475","4,902,009","6,799,238","7,006,749","8,375,429","8,662,400","6,426,006","3,623,899","1,667,665","239,567","20,758","25,858,743","25,858,743","2,113,237","2,538,510","3,573,013","3,604,008","4,256,517","4,367,750","3,141,575","1,624,362","580,471","54,276","5,024","25,984,452","25,984,452","2,006,238","2,363,499","3,226,225","3,402,741","4,118,912","4,294,650","3,284,431","1,999,537","1,087,194","185,291","15,734"
"서울특별시  (1100000000)","9,733,655","9,733,655","655,134","810,349","1,461,212","1,501,662","1,558,128","1,537,114","1,205,699","691,028","266,097","40,809","6,423","4,742,217","4,742,217","336,469","415,728","713,226","751,137","772,140","754,079","569,745","315,112","102,246","10,672","1,663","4,991,438","4,991,438","318,665","394,621","747,986","750,525","785,988","783,035","635,954","375,916","163,851","30,137","4,760"
"부산광역시  (2600000000)","3,409,932","3,409,932","240,857","279,909","435,280","430,494","516,889","579,584","513,485","286,808","110,254","14,551","1,821","1,672,252","1,672,252","123,551","144,939","227,531","219,981","259,940","280,755","243,739","129,019","39,216","3,179","402","1,737,680","1,737,680","117,306","134,970","207,749","210,513","256,949","298,829","269,746","157,789","71,038","11,372","1,419"
"대구광역시  (2700000000)","2,433,568","2,433,568","185,945","233,311","322,594","302,617","390,628","428,955","313,213","171,945","74,745","8,915","700","1,202,273","1,202,273","95,296","122,210","173,167","156,595","192,730","210,058","149,247","74,791","26,053","1,962","164","1,231,295","1,231,295","90,649","111,101","149,427","146,022","197,898","218,897","163,966","97,154","48,692","6,953","536"
"인천광역시  (2800000000)","2,952,689","2,952,689","238,763","279,780","405,826","416,119","489,213","515,257","347,493","172,868","74,768","11,685","917","1,479,839","1,479,839","122,481","143,995","211,904","214,926","249,847","257,735","172,319","78,381","25,441","2,565","245","1,472,850","1,472,850","116,282","135,785","193,922","201,193","239,366","257,522","175,174","94,487","49,327","9,120","672"
"광주광역시  (2900000000)","1,455,705","1,455,705","124,957","162,130","207,787","190,641","244,621","234,045","156,074","91,156","38,293","5,591","410","720,460","720,460","64,161","84,260","108,487","96,986","121,414","115,943","74,336","40,300","13,315","1,206","52","735,245","735,245","60,796","77,870","99,300","93,655","123,207","118,102","81,738","50,856","24,978","4,385","358"
"대전광역시  (3000000000)","1,471,858","1,471,858","119,952","151,192","212,258","198,404","241,550","242,974","171,435","88,762","39,389","5,603","339","735,179","735,179","61,669","78,321","111,676","103,050","120,473","120,926","83,465","40,192","14,046","1,281","80","736,679","736,679","58,283","72,871","100,582","95,354","121,077","122,048","87,970","48,570","25,343","4,322","259"
"울산광역시  (3100000000)","1,144,563","1,144,563","102,979","115,019","147,434","157,548","190,195","211,169","137,496","57,704","21,847","3,013","159","588,127","588,127","52,987","60,699","82,604","83,321","96,603","107,694","69,465","27,172","7,063","488","31","556,436","556,436","49,992","54,320","64,830","74,227","93,592","103,475","68,031","30,532","14,784","2,525","128"
"세종특별자치시  (3600000000)","344,792","344,792","47,449","40,751","36,373","61,396","65,983","43,132","28,002","13,660","6,894","1,095","57","171,951","171,951","24,286","20,459","18,401","29,894","33,901","22,328","13,894","6,216","2,312","250","10","172,841","172,841","23,163","20,292","17,972","31,502","32,082","20,804","14,108","7,444","4,582","845","47"
"경기도  (4100000000)","13,288,975","13,288,975","1,175,669","1,344,847","1,779,533","1,916,550","2,296,447","2,208,632","1,435,865","745,509","332,678","49,185","4,060","6,684,759","6,684,759","602,356","692,468","935,532","985,199","1,166,402","1,120,166","713,028","337,194","119,555","11,770","1,089","6,604,216","6,604,216","573,313","652,379","844,001","931,351","1,130,045","1,088,466","722,837","408,315","213,123","37,415","2,971"
