"행정구역","2020년01월_계_총인구수","2020년01월_계_연령구간인구수","2020년01월_계_0~9세","2020년01월_계_10~19세","2020년01월_계_20~29세","2020년01월_계_30~39세","2020년01월_계_40~49세","2020년01월_계_50~59세","2020년01월_계_60~69세","2020년01월_계_70~79세","2020년01월_계_80~89세","2020년01월_계_90~99세","2020년01월_계_100세 이상","2020년01월_남_총인구수","2020년01월_남_연령구간인구수","2020년01월_남_0~9세","2020년01월_남_10~19세","2020년01월_남_20~29세","2020년01월_남_30~39세","2020년01월_남_40~49세","2020년01월_남_50~59세","2020년01월_남_60~69세","2020년01월_남_70~79세","2020년01월_남_80~89세","2020년01월_남_90~99세","2020년01월_남_100세 이상","2020년01월_여_총인구수","2020년01월_여_연령구간인구수","2020년01월_여_0~9세","2020년01월_여_10~19세","2020년01월_여_20~29세","2020년01월_여_30~39세","2020년01월_여_40~49세","2020년01월_여_50~59세","2020년01월_여_60~69세","2020년01월_여_70~79세","2020년01월_여_80~89세","2020년01월_여_90~99세","2020년01월_여_100세 이상"
"전국  (0000000000)","51,847,509","51,847,509","4,148,654","4,940,455","6,806,410","7,045,120","8,389,281","8,666,971","6,344,284","3,607,104","1,644,448","234,401","20,381","25,862,863","25,862,863","2,128,540","2,559,161","3,577,821","3,620,786","4,263,630","4,367,950","3,102,402","1,613,721","570,616","53,338","4,898","25,984,646","25,984,646","2,020,114","2,381,294","3,228,589","3,424,334","4,125,651","4,299,021","3,241,882","1,993,383","1,073,832","181,063","15,483"
"서울특별시  (1100000000)","9,733,509","9,733,509","660,410","816,346","1,457,376","1,507,127","1,562,505","1,539,740","1,194,854","687,085","261,722","40,019","6,325","4,745,088","4,745,088","339,150","419,617","713,008","753,695","774,242","754,650","565,091","313,217","100,290","10,504","1,624","4,988,421","4,988,421","321,260","396,729","744,368","753,432","788,263","785,090","629,763","373,868","161,432","29,515","4,701"
"부산광역시  (2600000000)","3,411,819","3,411,819","242,231","282,183","435,626","433,536","517,826","581,966","509,116","284,987","108,317","14,235","1,796","1,674,202","1,674,202","124,296","146,268","228,155","221,449","260,408","281,696","241,982","128,051","38,366","3,139","392","1,737,617","1,737,617","117,935","135,915","207,471","212,087","257,418","300,270","267,134","156,936","69,951","11,096","1,404"
"대구광역시  (2700000000)","2,436,488","2,436,488","187,477","235,903","323,212","304,758","392,841","428,568","309,806","170,765","73,744","8,726","688","1,204,387","1,204,387","96,147","123,601","173,663","157,557","193,857","209,886","147,776","74,170","25,644","1,928","158","1,232,101","1,232,101","91,330","112,302","149,549","147,201","198,984","218,682","162,030","96,595","48,100","6,798","530"
"인천광역시  (2800000000)","2,956,119","2,956,119","241,048","282,326","407,195","419,066","490,378","516,278","341,815","171,847","73,779","11,487","900","1,481,749","1,481,749","123,695","145,302","212,668","216,207","250,389","258,261","169,693","77,745","25,007","2,542","240","1,474,370","1,474,370","117,353","137,024","194,527","202,859","239,989","258,017","172,122","94,102","48,772","8,945","660"
"광주광역시  (2900000000)","1,456,688","1,456,688","125,900","163,590","207,983","192,125","244,541","233,833","154,208","90,935","37,735","5,438","400","720,931","720,931","64,677","85,034","108,596","97,503","121,400","115,774","73,505","40,150","13,070","1,172","50","735,757","735,757","61,223","78,556","99,387","94,622","123,141","118,059","80,703","50,785","24,665","4,266","350"
"대전광역시  (3000000000)","1,474,152","1,474,152","121,132","152,558","212,630","199,709","242,465","243,752","169,130","88,002","38,976","5,464","334","736,259","736,259","62,226","79,118","111,910","103,379","121,041","121,251","82,394","39,775","13,834","1,250","81","737,893","737,893","58,906","73,440","100,720","96,330","121,424","122,501","86,736","48,227","25,142","4,214","253"
"울산광역시  (3100000000)","1,147,037","1,147,037","103,835","116,334","148,649","158,880","190,754","211,323","135,476","57,248","21,413","2,967","158","589,233","589,233","53,431","61,350","83,217","83,874","96,761","107,834","68,504","26,868","6,884","480","30","557,804","557,804","50,404","54,984","65,432","75,006","93,993","103,489","66,972","30,380","14,529","2,487","128"
"세종특별자치시  (3600000000)","342,328","342,328","47,342","40,361","36,452","61,447","65,109","42,665","27,467","13,558","6,804","1,068","55","170,729","170,729","24,214","20,258","18,418","29,982","33,502","22,062","13,626","6,151","2,264","242","10","171,599","171,599","23,128","20,103","18,034","31,465","31,607","20,603","13,841","7,407","4,540","826","45"
"경기도  (4100000000)","13,250,368","13,250,368","1,180,483","1,351,772","1,771,845","1,920,085","2,294,108","2,201,660","1,410,184","740,409","327,622","48,235","3,965","6,665,310","6,665,310","604,946","696,108","931,584","986,198","1,165,205","1,116,749","700,122","334,417","117,354","11,577","1,050","6,585,058","6,585,058","575,537","655,664","840,261","933,887","1,128,903","1,084,911","710,062","405,992","210,268","36,658","2,915"
