"행정구역","2020년06월_계_총인구수","2020년06월_계_연령구간인구수","2020년06월_계_0~9세","2020년06월_계_10~19세","2020년06월_계_20~29세","2020년06월_계_30~39세","2020년06월_계_40~49세","2020년06월_계_50~59세","2020년06월_계_60~69세","2020년06월_계_70~79세","2020년06월_계_80~89세","2020년06월_계_90~99세","2020년06월_계_100세 이상","2020년06월_남_총인구수","2020년06월_남_연령구간인구수","2020년06월_남_0~9세","2020년06월_남_10~19세","2020년06월_남_20~29세","2020년06월_남_30~39세","2020년06월_남_40~49세","2020년06월_남_50~59세","2020년06월_남_60~69세","2020년06월_남_70~79세","2020년06월_남_80~89세","2020년06월_남_90~99세","2020년06월_남_100세 이상","2020년06월_여_총인구수","2020년06월_여_연령구간인구수","2020년06월_여_0~9세","2020년06월_여_10~19세","2020년06월_여_20~29세","2020년06월_여_30~39세","2020년06월_여_40~49세","2020년06월_여_50~59세","2020년06월_여_60~69세","2020년06월_여_70~79세","2020년06월_여_80~89세","2020년06월_여_90~99세","2020년06월_여_100세 이상"
"전국  (0000000000)","51,839,408","51,839,408","4,075,794","4,861,506","6,803,579","6,972,185","8,342,267","8,652,260","6,523,322","3,658,049","1,686,109","243,203","21,134","25,853,937","25,853,937","2,090,575","2,516,242","3,574,164","3,588,576","4,239,154","4,365,248","3,188,946","1,642,296","588,678","54,925","5,133","25,985,471","25,985,471","1,985,219","2,345,264","3,229,415","3,383,609","4,103,113","4,287,012","3,334,376","2,015,753","1,097,431","188,278","16,001"
"서울특별시  (1100000000)","9,720,846","9,720,846","646,238","800,377","1,465,500","1,496,864","1,547,624","1,532,341","1,217,518","697,099","269,405","41,346","6,534","4,732,275","4,732,275","331,870","410,236","713,039","749,157","766,587","752,182","575,000","317,745","103,967","10,782","1,710","4,988,571","4,988,571","314,368","390,141","752,461","747,707","781,037","780,159","642,518","379,354","165,438","30,564","4,824"
"부산광역시  (2600000000)","3,404,423","3,404,423","238,364","276,766","434,376","427,542","514,737","575,757","518,401","290,106","111,821","14,705","1,848","1,668,618","1,668,618","122,295","143,169","226,699","218,387","259,081","279,155","245,721","130,561","39,938","3,202","410","1,735,805","1,735,805","116,069","133,597","207,677","209,155","255,656","296,602","272,680","159,545","71,883","11,503","1,438"
"대구광역시  (2700000000)","2,427,954","2,427,954","183,631","230,453","322,265","300,366","387,880","427,621","316,981","173,456","75,574","9,024","703","1,198,815","1,198,815","94,046","120,530","172,679","155,746","191,259","209,487","150,908","75,629","26,384","1,982","165","1,229,139","1,229,139","89,585","109,923","149,586","144,620","196,621","218,134","166,073","97,827","49,190","7,042","538"
"인천광역시  (2800000000)","2,947,217","2,947,217","235,526","277,423","404,099","412,813","486,833","513,748","353,459","175,105","75,394","11,889","928","1,476,813","1,476,813","120,847","142,763","210,883","213,371","248,676","256,964","175,164","79,590","25,715","2,594","246","1,470,404","1,470,404","114,679","134,660","193,216","199,442","238,157","256,784","178,295","95,515","49,679","9,295","682"
"광주광역시  (2900000000)","1,455,048","1,455,048","123,413","160,383","208,765","189,436","243,727","233,826","158,721","91,879","38,816","5,663","419","720,060","720,060","63,438","83,285","108,943","96,490","120,963","115,915","75,535","40,662","13,562","1,214","53","734,988","734,988","59,975","77,098","99,822","92,946","122,764","117,911","83,186","51,217","25,254","4,449","366"
"대전광역시  (3000000000)","1,471,040","1,471,040","118,539","149,539","212,938","197,697","240,090","242,755","173,812","89,871","39,740","5,712","347","734,441","734,441","60,891","77,383","111,813","102,796","119,772","120,905","84,574","40,742","14,169","1,312","84","736,599","736,599","57,648","72,156","101,125","94,901","120,318","121,850","89,238","49,129","25,571","4,400","263"
"울산광역시  (3100000000)","1,142,190","1,142,190","101,761","113,822","146,741","156,012","189,274","210,714","139,985","58,616","22,068","3,032","165","586,939","586,939","52,351","59,968","82,286","82,695","96,202","107,416","70,649","27,655","7,190","494","33","555,251","555,251","49,410","53,854","64,455","73,317","93,072","103,298","69,336","30,961","14,878","2,538","132"
"세종특별자치시  (3600000000)","345,341","345,341","47,105","41,077","36,098","60,923","66,382","43,369","28,419","13,859","6,908","1,145","56","172,234","172,234","24,163","20,599","18,280","29,634","34,015","22,519","14,101","6,331","2,321","261","10","173,107","173,107","22,942","20,478","17,818","31,289","32,367","20,850","14,318","7,528","4,587","884","46"
"경기도  (4100000000)","13,338,020","13,338,020","1,166,941","1,340,623","1,791,260","1,914,790","2,295,521","2,217,025","1,466,163","754,497","336,956","50,079","4,165","6,711,047","6,711,047","597,691","690,470","942,471","985,236","1,166,172","1,124,534","728,210","341,782","121,415","11,953","1,113","6,626,973","6,626,973","569,250","650,153","848,789","929,554","1,129,349","1,092,491","737,953","412,715","215,541","38,126","3,052"
