"행정구역","2020년04월_계_총인구수","2020년04월_계_연령구간인구수","2020년04월_계_0~9세","2020년04월_계_10~19세","2020년04월_계_20~29세","2020년04월_계_30~39세","2020년04월_계_40~49세","2020년04월_계_50~59세","2020년04월_계_60~69세","2020년04월_계_70~79세","2020년04월_계_80~89세","2020년04월_계_90~99세","2020년04월_계_100세 이상","2020년04월_남_총인구수","2020년04월_남_연령구간인구수","2020년04월_남_0~9세","2020년04월_남_10~19세","2020년04월_남_20~29세","2020년04월_남_30~39세","2020년04월_남_40~49세","2020년04월_남_50~59세","2020년04월_남_60~69세","2020년04월_남_70~79세","2020년04월_남_80~89세","2020년04월_남_90~99세","2020년04월_남_100세 이상","2020년04월_여_총인구수","2020년04월_여_연령구간인구수","2020년04월_여_0~9세","2020년04월_여_10~19세","2020년04월_여_20~29세","2020년04월_여_30~39세","2020년04월_여_40~49세","2020년04월_여_50~59세","2020년04월_여_60~69세","2020년04월_여_70~79세","2020년04월_여_80~89세","2020년04월_여_90~99세","2020년04월_여_100세 이상"
"전국  (0000000000)","51,842,524","51,842,524","4,103,848","4,887,408","6,802,925","6,995,799","8,362,127","8,661,935","6,456,674","3,632,966","1,676,737","241,192","20,913","25,857,509","25,857,509","2,104,945","2,530,515","3,574,813","3,599,425","4,249,435","4,368,381","3,156,334","1,629,738","584,276","54,585","5,062","25,985,015","25,985,015","1,998,903","2,356,893","3,228,112","3,396,374","4,112,692","4,293,554","3,300,340","2,003,228","1,092,461","186,607","15,851"
"서울특별시  (1100000000)","9,726,787","9,726,787","651,713","806,853","1,461,968","1,499,396","1,553,951","1,535,950","1,209,291","692,568","267,588","41,039","6,470","4,737,843","4,737,843","334,693","413,804","712,883","750,315","769,983","753,529","571,487","315,825","102,912","10,734","1,678","4,988,944","4,988,944","317,020","393,049","749,085","749,081","783,968","782,421","637,804","376,743","164,676","30,305","4,792"
"부산광역시  (2600000000)","3,408,347","3,408,347","239,942","278,986","434,904","429,569","515,998","578,463","515,095","287,942","111,008","14,604","1,836","1,671,199","1,671,199","123,072","144,381","227,296","219,550","259,516","280,356","244,338","129,583","39,523","3,178","406","1,737,148","1,737,148","116,870","134,605","207,608","210,019","256,482","298,107","270,757","158,359","71,485","11,426","1,430"
"대구광역시  (2700000000)","2,431,523","2,431,523","185,155","232,363","322,534","301,805","389,655","428,427","314,502","172,311","75,116","8,956","699","1,200,899","1,200,899","94,844","121,704","172,940","156,276","192,197","209,826","149,778","75,012","26,189","1,970","163","1,230,624","1,230,624","90,311","110,659","149,594","145,529","197,458","218,601","164,724","97,299","48,927","6,986","536"
"인천광역시  (2800000000)","2,950,972","2,950,972","237,571","279,083","405,343","415,072","488,260","515,034","349,309","173,536","75,066","11,777","921","1,478,916","1,478,916","121,907","143,618","211,612","214,442","249,401","257,622","173,159","78,726","25,606","2,577","246","1,472,056","1,472,056","115,664","135,465","193,731","200,630","238,859","257,412","176,150","94,810","49,460","9,200","675"
"광주광역시  (2900000000)","1,456,096","1,456,096","124,409","161,641","208,412","190,220","244,392","234,352","156,796","91,258","38,573","5,631","412","720,536","720,536","63,870","84,007","108,720","96,789","121,319","116,096","74,659","40,386","13,425","1,211","54","735,560","735,560","60,539","77,634","99,692","93,431","123,073","118,256","82,137","50,872","25,148","4,420","358"
"대전광역시  (3000000000)","1,471,650","1,471,650","119,414","150,689","212,490","198,204","241,035","242,915","172,219","89,106","39,602","5,635","341","734,902","734,902","61,364","78,043","111,701","102,958","120,240","120,866","83,844","40,393","14,118","1,296","79","736,748","736,748","58,050","72,646","100,789","95,246","120,795","122,049","88,375","48,713","25,484","4,339","262"
"울산광역시  (3100000000)","1,144,098","1,144,098","102,596","114,667","147,252","157,147","189,852","211,109","138,280","58,029","21,970","3,035","161","587,902","587,902","52,778","60,493","82,510","83,171","96,509","107,601","69,833","27,354","7,124","498","31","556,196","556,196","49,818","54,174","64,742","73,976","93,343","103,508","68,447","30,675","14,846","2,537","130"
"세종특별자치시  (3600000000)","345,216","345,216","47,399","40,875","36,323","61,266","66,124","43,283","28,173","13,673","6,922","1,121","57","172,176","172,176","24,291","20,538","18,359","29,831","33,941","22,421","13,984","6,226","2,316","259","10","173,040","173,040","23,108","20,337","17,964","31,435","32,183","20,862","14,189","7,447","4,606","862","47"
"경기도  (4100000000)","13,311,254","13,311,254","1,172,865","1,342,695","1,786,677","1,917,619","2,296,203","2,212,849","1,445,636","748,404","334,613","49,584","4,109","6,696,531","6,696,531","600,759","691,364","939,653","986,120","1,166,235","1,122,484","717,779","338,743","120,460","11,835","1,099","6,614,723","6,614,723","572,106","651,331","847,024","931,499","1,129,968","1,090,365","727,857","409,661","214,153","37,749","3,010"
